method,num_images,seed,conf_thres_value,num_points,sampling_mode,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,eval_opt,depth_loss_mode,error_opa,depth_lambda,depth_conf_mode,choice,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,camera_src,pcd_src,align_mode,align_glue,shared_camera,keep_backup_cams,random_init,use_ba,max_ba_iterations,source,psnr,lpips,ssim,num_GS,eval_rte,eval_rre,quality,real_num_points,file_path,folder,rre,rte,num_aligned,plot_series,num_images_jitter
colmap,50,43,,2784,,farthestpose,50,GT Eval,,,,,,,,0.0,,colmap,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,gsplat,15.928733825683594,0.5932340025901794,0.2659359872341156,1000000,0.0028260000981390476,0.4104999303817749,-0.009266406704343014,2784,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n50_s43_default_farthestpose_sharedcam_i50_gteval_steps15000/stats/val_step14999.json,bicycle_4_n50_s43_default_farthestpose_sharedcam_i50_gteval_steps15000,0.4105,0.008885,28,colmap | 2784,50.0
colmap,50,44,,3026,,farthestpose,50,GT Eval,,,,,,,,0.0,,colmap,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,gsplat,14.330405235290527,0.6672743558883667,0.2448001354932785,1000000,0.0551609992980957,2.582899808883667,-0.09692915331008285,3026,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n50_s44_default_farthestpose_sharedcam_i50_gteval_steps15000/stats/val_step14999.json,bicycle_4_n50_s44_default_farthestpose_sharedcam_i50_gteval_steps15000,2.5829,0.179734,28,colmap | 3026,50.0
colmap,50,42,,3071,,farthestpose,50,GT Eval,,,,,,,,0.0,,colmap,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,gsplat,16.712671279907227,0.5908353328704834,0.30026674270629883,1000000,0.002750999992713332,0.189099982380867,0.026808079068268837,3071,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n50_s42_default_farthestpose_sharedcam_i50_gteval_steps15000/stats/val_step14999.json,bicycle_4_n50_s42_default_farthestpose_sharedcam_i50_gteval_steps15000,0.1891,0.008857,29,colmap | 3071,50.0
colmap,100,43,,16511,,farthestpose,100,GT Eval,,,,,,,,0.0,,colmap,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,gsplat,21.266855239868164,0.3772125244140625,0.4722321927547455,1000000,0.001961000030860305,0.10180000215768814,0.34357534088509045,16511,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n100_s43_default_farthestpose_sharedcam_i100_gteval_steps15000/stats/val_step14999.json,bicycle_4_n100_s43_default_farthestpose_sharedcam_i100_gteval_steps15000,0.1018,0.00789,100,colmap | 16511,100.0
colmap,100,44,,16663,,farthestpose,100,GT Eval,,,,,,,,0.0,,colmap,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,gsplat,21.374887466430664,0.37176376581192017,0.4811028838157654,1000000,0.0022849999368190765,0.10419999063014984,0.35412690754135057,16663,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n100_s44_default_farthestpose_sharedcam_i100_gteval_steps15000/stats/val_step14999.json,bicycle_4_n100_s44_default_farthestpose_sharedcam_i100_gteval_steps15000,0.1042,0.00919,100,colmap | 16663,100.0
colmap,100,42,,16687,,farthestpose,100,GT Eval,,,,,,,,0.0,,colmap,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,gsplat,21.16598129272461,0.37304171919822693,0.47317782044410706,1000000,0.0021039999555796385,0.10689998418092728,0.3448348745965122,16687,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n100_s42_default_farthestpose_sharedcam_i100_gteval_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_default_farthestpose_sharedcam_i100_gteval_steps15000,0.1069,0.008457,100,colmap | 16687,100.0
vggt,50,42,0.0,55000,voxels,farthestpose,50,GT Eval,,,,,,,,0.0,,vggt,,,15000,15000,,MCMC,,,,,,,,,,gsplat,16.71922492980957,0.4964630901813507,0.24436457455158234,1000000,0.01934400014579296,0.9197998642921448,0.052492587344843224,55619,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n50_s42_c0.0_p55000_voxels_farthestpose_i50_gteval_steps15000/stats/val_step14999.json,bicycle_4_n50_s42_c0.0_p55000_voxels_farthestpose_i50_gteval_steps15000,0.9199,0.086453,50,vggt | 55000,50.0
vggt,50,43,0.0,55000,voxels,farthestpose,50,GT Eval,,,,,,,,0.0,,vggt,,,15000,15000,,MCMC,,,,,,,,,,gsplat,16.879575729370117,0.4718780517578125,0.24196796119213104,1000000,0.018042000010609627,0.7686999440193176,0.06923646795974299,57002,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n50_s43_c0.0_p55000_voxels_farthestpose_i50_gteval_steps15000/stats/val_step14999.json,bicycle_4_n50_s43_c0.0_p55000_voxels_farthestpose_i50_gteval_steps15000,0.7686,0.079451,50,vggt | 55000,50.0
vggt,50,44,0.0,55000,voxels,farthestpose,50,GT Eval,,,,,,,,0.0,,vggt,,,15000,15000,,MCMC,,,,,,,,,,gsplat,16.770620346069336,0.49961692094802856,0.2466667890548706,1000000,0.019300002604722977,0.9164000749588013,0.052843869468312245,55885,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n50_s44_c0.0_p55000_voxels_farthestpose_i50_gteval_steps15000/stats/val_step14999.json,bicycle_4_n50_s44_c0.0_p55000_voxels_farthestpose_i50_gteval_steps15000,0.9165,0.086201,50,vggt | 55000,50.0
vggt,50,42,0.0,110000,voxels,farthestpose,50,GT Eval,,,,,,,,0.0,,vggt,,,15000,15000,,MCMC,,,,,,,,,,gsplat,16.57892608642578,0.48817571997642517,0.23392347991466522,1000000,,,0.04890421793939548,106174,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n50_s42_c0.0_p110000_voxels_farthestpose_i50_gteval_steps15000/stats/val_step14999.json,bicycle_4_n50_s42_c0.0_p110000_voxels_farthestpose_i50_gteval_steps15000,0.9199,0.086453,50,vggt | 110000,50.0
